filename,id,full_nominal_quotient,simple_nominal_quotient,word_count,mean_sentence_length
14 A,C165,1.2817460317460319,1.4029850746268657,796,22.11111111111111
14 A,C166,1.013793103448276,1.3037037037037038,796,26.533333333333335
14 A,C167,1.2540322580645162,1.4963503649635037,749,22.696969696969695
14 A,C168,1.187279151943463,1.3862068965517242,870,22.894736842105264
14 A,C169,0.9097472924187726,1.221311475409836,692,17.743589743589745
14 A,C170,1.0033222591362125,1.2516556291390728,814,25.4375
14 A,C171,1.197879858657244,1.3375,797,15.037735849056604
14 A,C172,1.7967914438502675,1.8272727272727274,669,19.114285714285714
14 A,C173,1.0862068965517242,1.1965811965811965,648,17.513513513513512
14 A,C174,1.5811965811965811,1.4714285714285715,781,21.10810810810811
14 A,C175,1.137313432835821,1.2342857142857142,984,27.333333333333332
14 A,C176,0.9093959731543624,1.0718954248366013,793,25.580645161290324
14 A,C177,1.0246913580246915,1.0144927536231885,680,17.894736842105264
14 A,C178,1.6153846153846154,1.6666666666666667,738,14.470588235294118
14 A,C179,1.06,1.1676646706586826,799,20.487179487179485
14 A,C180,1.1272727272727272,1.18125,805,15.48076923076923
14 A,C181,1.0803212851405624,1.1360544217687074,736,23.0
14 A,C182,0.9047619047619048,0.9880239520958084,809,17.977777777777778
14 A,C183,0.8996865203761756,1.028735632183908,852,18.52173913043478
14 A,C184,1.0215827338129497,1.0740740740740742,800,15.686274509803921
14 A,C185,1.3021276595744682,1.5158730158730158,713,17.825
14 A,C186,1.2201492537313432,1.4217687074829932,822,24.90909090909091
14 A,C187,0.9899328859060402,1.1,799,24.21212121212121
14 A,C188,1.3305439330543933,1.6062992125984252,758,17.627906976744185
14 A,C189,1.027972027972028,1.2741935483870968,758,27.071428571428573
14 A,C190,1.178988326848249,1.2297297297297298,756,20.43243243243243
14 A,C191,0.5934343434343434,0.7351351351351352,878,15.678571428571429
14 A,C192,1.3680297397769516,1.6326530612244898,889,26.147058823529413
14 A,C193,1.218045112781955,1.2413793103448276,781,19.525
14 A,C194,1.1417910447761195,1.2941176470588236,795,19.390243902439025
14 A,C195,1.6059322033898304,1.6343283582089552,799,16.645833333333332
14 A,C196,0.7171717171717171,0.7748344370860927,693,21.0
14 A,C197,1.0913043478260869,1.2521008403361344,655,17.236842105263158
14 A,C198,0.9887218045112782,1.1550387596899225,716,28.64
14 A,C200,1.0418410041841004,1.2554744525547445,670,19.142857142857142
14 A,C201,1.0794979079497908,1.4173913043478261,677,18.2972972972973
14 A,C202,1.1827956989247312,1.4193548387096775,809,19.261904761904763
14 A,C203,1.2067510548523206,1.346938775510204,742,21.2
14 A,C204,1.1487889273356402,1.218543046357616,808,19.238095238095237
14 A,C205,1.5746606334841629,1.4055944055944056,770,20.81081081081081
14 A,C206,1.4345991561181435,1.5289855072463767,796,20.94736842105263
14 A,C207,1.0791666666666666,1.2755905511811023,657,17.756756756756758
14 A,C208,1.576,1.4269005847953216,906,23.842105263157894
14 A,C209,1.2200956937799043,1.2440944881889764,630,20.322580645161292
14 A,C210,1.2697095435684647,1.4328358208955223,777,15.857142857142858
14 A,C211,1.0114942528735633,1.1956521739130435,713,20.37142857142857
14 A,C212,0.9074733096085409,1.1304347826086956,746,24.866666666666667
14 A,C214,1.2095588235294117,1.1868131868131868,810,16.2
14 C,C115,0.6606060606060606,0.8353658536585366,759,21.685714285714287
14 C,C116,1.0869565217391304,1.1968503937007875,656,18.22222222222222
14 C,C117,1.0069686411149825,1.138157894736842,801,22.25
14 C,C118,1.0823529411764705,1.1333333333333333,730,15.208333333333334
14 C,C119,0.8127208480565371,1.0153846153846153,697,18.342105263157894
14 C,C120,1.0797101449275361,1.3172413793103448,785,15.096153846153847
14 C,C121,0.8661417322834646,1.0075187969924813,656,18.22222222222222
14 C,C122,0.8029739776951673,0.9274193548387096,638,22.785714285714285
14 C,C123,1.1575091575091576,1.2054794520547945,792,20.842105263157894
14 C,C124,1.02880658436214,1.176,662,20.6875
14 C,C125,0.793233082706767,1.1015625,624,18.352941176470587
14 C,C126,1.1145374449339207,1.2421875,688,27.52
14 C,C127,1.0946969696969697,1.288888888888889,764,16.977777777777778
14 C,C128,1.5708333333333333,1.6222222222222222,808,17.565217391304348
14 C,C129,0.9515570934256056,1.0114942528735633,785,18.69047619047619
14 C,C130,0.9434782608695652,1.1,618,18.176470588235293
14 C,C131,1.1879432624113475,1.4545454545454546,795,16.914893617021278
14 C,C132,1.618811881188119,1.6991869918699187,684,18.486486486486488
14 C,C133,0.9436201780415431,1.1560693641618498,894,24.16216216216216
14 C,C134,1.0104166666666667,1.1895424836601307,822,17.125
14 C,C135,0.7142857142857143,0.8581560283687943,736,19.36842105263158
14 C,C136,0.762987012987013,0.8445945945945946,775,25.833333333333332
14 C,C137,0.8917910447761194,1.1875,670,16.341463414634145
14 C,C138,1.23828125,1.4852941176470589,761,14.634615384615385
14 C,C139,1.2636363636363637,1.396694214876033,653,24.185185185185187
14 C,C140,0.7746031746031746,0.9813664596273292,789,20.763157894736842
14 C,C141,0.7913385826771654,0.8951612903225806,642,18.34285714285714
14 C,C142,0.8379629629629629,0.9285714285714286,557,21.423076923076923
14 C,C143,0.7722007722007722,0.9781021897810219,644,20.774193548387096
14 C,C145,0.9254385964912281,1.2758620689655173,607,15.973684210526315
14 C,C146,1.1474654377880185,1.2127659574468086,667,13.612244897959183
14 C,C147,0.7344632768361582,0.9470588235294117,790,15.192307692307692
